city,name_chinese,name_english,address,category_2,category_1,number
Alhambra,新澳門街,BIG 3 RESTAURANT,240 W. Main St.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-300-3990
City of Industry,海盜船,BOAT HOUSE,1390 S. Fullerton Rd. #102,RESTAURANTS-CHINESE FOOD,餐飲食品,626-581-3555
Alhambra,海盜船,BOAT HOUSE,25 W. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-2888
Temple City,休閒小食,BOBALINK,9566 Las Tunas Dr,RESTAURANTS-CHINESE FOOD,餐飲食品,626-309-9685
Los Angeles,梁記餐室,BODA RESTAURANT,2310 Pasadena Ave. #102,RESTAURANTS-CHINESE FOOD,餐飲食品,323-227-8573
Arcadia,沸點臭臭鍋,BOILING POINT,206 S. 1st Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-461-6688
Hacienda Hts.,沸點臭臭鍋,BOILING POINT,2020 S.Hacienda Bl. #E,RESTAURANTS-CHINESE FOOD,餐飲食品,626-369-0928
Monterey Park,沸點臭臭鍋,BOILING POINT,153 W. Garvey Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-288-9876
Westminster,金和燒臘,BOLSA B.B.Q,8938 Bolsa Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,714-903-2485
Temple City,牛魔王休閒餐廳,BULL DEMON KING CAFE,5953 Temple City Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-286-4788
Burbank,林景園,BURNING BONZAI RESTAURANT,4408 W. Magnolia Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,818-848-3769
Tustin,,CAFE CHINA SUPER BUFFET,17631 17th St.,RESTAURANTS-CHINESE FOOD,餐飲食品,714-832-3338
Arcadia,福軒亞敘,CAFE FUSION,510 E. Live Oak Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-447-6488
Alhambra,咖啡點,CAFE SPOT,500 W. Valley Bl. #A,RESTAURANTS-CHINESE FOOD,餐飲食品,626-308-3233
Encino,,CALIFORNIA WOK.,16656 Ventura Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,818-386-0561
Artesia,迦南美食,CANAAN RESTAURANT,11610 South St.,RESTAURANTS-CHINESE FOOD,餐飲食品,562-809-8369
Montebello,廣州餐館,CANTON CITY RESTAURANT,121 N. Garfield Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,323-724-0714
Los Angeles,廣東廚房,CANTON KITCHEN,12511 Venice Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-398-0030
Westminster,廣東粥粉麵家,CANTON RESTAURANT,8550 Westminster Ave,RESTAURANTS-CHINESE FOOD,餐飲食品,714-892-2022
Irvine,金都燒臘點心專賣店,CAPITAL B.B.Q. & DIM SUM EXPRE,2700 Alton Pkwy #127,RESTAURANTS-CHINESE FOOD,餐飲食品,949-252-8186
Monterey Park,金都燒臘點心專賣店,CAPITAL B.B.Q. & DIM SUM EXPRESS,727 W. Garvey Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-289-6338
Irvine,金都海鮮酒家,CAPITAL SEAFOOD RESTAURANT,2700 Alton Pkwy #127,RESTAURANTS-CHINESE FOOD,餐飲食品,949-252-8186
Arcadia,金都海鮮酒家,CAPITAL SEAFOOD RESTAURANT,333 E. Huntington Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-574-8889
Monterey Park,金都海鮮酒家,CAPITAL SEAFOOD RESTAURANT,755 W. Garvey Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-3318
Garden Grove,金都海鮮酒家,CAPITAL SEAFOOD RESTAURANT,8851 Westminster Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,714-892-4182
Rowland Hts.,金都海鮮酒家,CAPITAL SEAFOOD RESTAURANT,1015 S. Nogales St. #132,RESTAURANTS-CHINESE FOOD,餐飲食品,626-839-7738
Los Angeles,海城酒家,CBS SEAFOOD RESTAURANT,700 N. Spring St.,RESTAURANTS-CHINESE FOOD,餐飲食品,213-617-2323
Arcadia,樓外樓,CHANG'S GARDEN,627 W. Duarte Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-445-0707
Westminster,石頭記,YUM CHA CAFE,8900 Westminster Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,714-899-0700
Los Angeles,石頭記,YUM CHA CAFE,638 N. Broadway Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,213-617-8698
San Gabriel,石頭記,YUM CHA CAFE,1635 S. San Gabriel Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-280-0978
El Monte,翠臨,YUMMI CHINESE FAST FOOD,10123 Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-579-1266
Walnut,上林小館,YUMMY CAF'E,20278 E. Carrey Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,909-595-1808
Walnut,大聲公南北小吃,YUMMY HOUSE,20781-2 Amar Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,909-468-4991
San Gabriel,雲南橋香園,YUN NAN 168,1530 S. San Gabriel Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-280-7688
Arcadia,雲麵屋,YUN NOODLE HOUSE,1220 S. Golden West Ave.#E,RESTAURANTS-CHINESE FOOD,餐飲食品,626-446-1668
San Gabriel,永和豆漿餐飲,YUNG HO TOU CHIANG RESTAURANT,533 W. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-570-0860
San Gabriel,雲南過橋園,YUNJUI GARDEN INC.,545 W. Las Tunas Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-308-1896
Monterey Park,雲南過橋園,YUNJUI GARDEN INC.,301 N. Garfield Ave. #D,RESTAURANTS-CHINESE FOOD,餐飲食品,626-571-8387
Irvine,余姐清粥小吃,YU'S GARDEN,5408-H Walnut Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,949-654-2366
Monrovia,禪自助餐廳,ZEN BUFFET,945 W. Huntington Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-359-8881
Long Beach,禪自助餐廳,ZEN BUFFET,7503 Carson St.,RESTAURANTS-CHINESE FOOD,餐飲食品,562-496-3888
Pico Rivera,禪自助餐廳,ZEN BUFFET,8800 Washington Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,562-222-1488
San Gabriel,禪自助餐廳,ZEN BUFFET,5449 Rosemead Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-285-9595
Los Angeles,真美麵家,ZEN MEI BISTRO,800 Yale St.,RESTAURANTS-CHINESE FOOD,餐飲食品,213-626-7113
El Monte,中港台美食餐廳,ZHONG GANG TAI,11635 Valley Bl. #C,RESTAURANTS-CHINESE FOOD,餐飲食品,626-575-8301
San Gabriel,相約818燒烤酒吧,相約818燒烤酒吧,250 W. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-9300
Rowland Hts.,蜀風園川菜館,SHUFENG GARDEN,18459 Colima Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-839-7589
San Gabriel,四海早點、滷味、麵點,SI HAI RESTAURANT,708 E. Las Tunas Dr. #A,RESTAURANTS-CHINESE FOOD,餐飲食品,626-285-8369
W. Covina,銀龍中餐館,SILVER DRAGON RESTAURANT,1129 W. Covina Pkwy,RESTAURANTS-CHINESE FOOD,餐飲食品,626-962-6019
Arcadia,辛巴樂,SINBALA DRINKING EXPRESS,651 W. Duarte Rd. #F-G,RESTAURANTS-CHINESE FOOD,餐飲食品,626-446-0886
San Gabriel,小南國,SOUTHREN MINI TOWN RESTAURANT,833 W.Las Tunas Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-289-6578
Los Angeles,豆香居,SOYBEAN CHINESE RESTAURANT,11966 Wilshire Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-447-6526
San Gabriel,重慶麻辣城,SPICY CITY,140 W. Valley Bl. #208,RESTAURANTS-CHINESE FOOD,餐飲食品,626-280-0186
Artesia,強強滾,SPICY SHABU SHABU,18323 Pioneer Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,562-402-5775
San Gabriel,綠波廊,SPRING WAVE RESTAURANT,140 W. Valley Bl. #209,RESTAURANTS-CHINESE FOOD,餐飲食品,626-571-1178
Pasadena,全家福餐廳,STRING GARDEN,187 N. Sierra Madre Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-796-2531
San Gabriel,南翔小籠,SUGAR SPICE CAFE,227 W. Valley Bl. #168A,RESTAURANTS-CHINESE FOOD,餐飲食品,626-308-3777
Rosemead,明珠海鮮城,SUN CITY SEAFOOD RESTAURANT,7540 E. Garvey Ave. #A,RESTAURANTS-CHINESE FOOD,餐飲食品,626-288-1177
Rosemead,新地港式中西餐,SUNDAY,8801 Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-237-0096
Alhambra,新地港式中西餐,SUNDAY,1032 E. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-0238
Los Angeles,鄭家園,SUPPER PANDA CHINA BUFFET,6300 York Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,323-257-7551
Monterey Park,四川火鍋烤肉城,SZECHUAN HOT POT AND B.B.Q.,111 N. Atlantic Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-576-0553
Los Angeles,琴園,SZECHUWAN GARDEN,8399 Topanga Canyon Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,818-348-7792
Lomita,四川餐廳,SZECHWAN CHINESE RESTAURANT,2107 Pacific Coast Hwy.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-534-2280
Artesia,蜀香園,SZECHWAN GARDEN,18854 Norwalk Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,562-865-9258
Torrance,知味樓,SZECHWAN KITCHEN,22243 Palos Verdes Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-540-9337
Marina Del Rey,川園餐廳,SZECHWAN RESTAURANT,2905 Washington Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-821-6256
La Puente,程家園,T M CHINESE FAST FOOD,13901 E. Amar Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-814-3220
Los Angeles,大班樓中餐廳,TAIPAN RESTAURANT,330 S. Hope St. 2nd Fl.,RESTAURANTS-CHINESE FOOD,餐飲食品,213-626-6688
Hacienda Hts.,大班小廚,TAIPAN RESTAURANT,1629 S. Azusa Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-581-8531
Hacienda Hts.,享南小館,TAIWAN DELI,17110 Colima Rd. #C,RESTAURANTS-CHINESE FOOD,餐飲食品,626-965-3868
Alhambra,可樂美餐點,TAIWAN GOURMET DELI,1300 E. Main St. #102,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-5436
Reseda,金飯碗,TAMPA GARDEN,8241 Tampa Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,818-349-2221
Garden Grove,新港海鮮,TAN CANG NEWPORT SEAFOOD,10541 Bolsa Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,714-554-3996
Santa Ana,新港海鮮,TAN CANG NEWPORT SEAFOOD CHINESE RESTAURANT,4411 W. 1st St.,RESTAURANTS-CHINESE FOOD,餐飲食品,714-531-5146
San Gabriel,重慶味苑,TASTE OF CHONGQING,172 E. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-288-1357
San Gabriel,一品香干鍋主題餐廳,TASTY DINING,301 W. Valley Bl.#101,RESTAURANTS-CHINESE FOOD,餐飲食品,626-570-1234
San Gabriel,金鴨子餐廳,TASTY DUCK RESTAURANT,1039 E. Valley Bl. #B102,RESTAURANTS-CHINESE FOOD,餐飲食品,626-572-3885
Rosemead,好味屋,TASTY FOODS CHINESE RESTAURANT,8150 E. Garvey Ave. #117C,RESTAURANTS-CHINESE FOOD,餐飲食品,626-569-1867
Alhambra,稻香,TASTY GARDEN,288 W. Valley Bl. #110,RESTAURANTS-CHINESE FOOD,餐飲食品,626-300-8262
Westminster,稻香,TASTY GARDEN,9433 Bolsa Ave. #C,RESTAURANTS-CHINESE FOOD,餐飲食品,714-839-8580
Arcadia,稻香,TASTY GARDEN,1212 S. Baldwin Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-445-9388
San Gabriel,大連風味菜,TASTY NOODLE HOUSE,827 W. Las Tunas Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-284-8898
Rowland Hts.,美食堂,TASTY STATRON,19035 Colima Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-810-3600
Rowland Hts,茶巷餐廳,TEA LANE,18414 E. Colima Rd.#R,RESTAURANTS-CHINESE FOOD,餐飲食品,626-575-9998
San Gabriel,溏潮,TEA TIME,301 W. Valley Bl. #101,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-5200
Anaheim,天天漁港,TEN TEN SEAFOOD RESTAURANT,669 N. Euclid St.,RESTAURANTS-CHINESE FOOD,餐飲食品,714-991-9272
Alhambra,醉好時光啤酒屋,THE BEST TIME RESTAURANT,247 E. Main St. #2,RESTAURANTS-CHINESE FOOD,餐飲食品,626-308-9385
Artesia,第一煲,THE CLAY POT,11700 South St. #105,RESTAURANTS-CHINESE FOOD,餐飲食品,562-860-0303
Alhambra,海皇粥粉麵,THE CONGEE,19 E. Valley Bl,RESTAURANTS-CHINESE FOOD,餐飲食品,626-284-2722 626-284-2770
Los Angeles,龍宮,THE DRAGON RESTAURANT,966 S. Vermont Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,213-387-8833
Reseda,萬里長城,THE GREAT WALL RESTAURANT,18331 Sherman Way,RESTAURANTS-CHINESE FOOD,餐飲食品,818-996-8900
Torrance,華廚,THE MANDARIN KITCHEN,2526 Torrance Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-320-2888
Los Angeles,濠景海鮮城,THE PALACE SEAFOOD & DIM SUM RESTAURANT,11701 Wilshire Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-979-3377
Alhambra,正點,The Square Dot,1124 W. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-457-1888
Rowland Hts.,三家村,THREE FAMILY'S VILLAGE,18438 Colima Rd. #102,RESTAURANTS-CHINESE FOOD,餐飲食品,626-810-1373
Monterey Park,利苑海鮮酒家,MONTEREY PALACE RESTAURANT,1001 E. Garvey Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-571-0888
Torrance,雅敘苑,MOO'S RESTAURANT,4817 Torrance Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-542-5270
San Gabriel,新順景海鮮燒臘,MPV B.B.Q. & SEAFOOD RESTAURANT,545 W. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-6892
El Monte,人和海鮮酒家,MR. CHOPSTICKS SEAFOOD RESTAURANT,10990 Lower Azusa Rd. #10,RESTAURANTS-CHINESE FOOD,餐飲食品,626-575-3376
City of Industry,神采飛揚,MR. LAMB,17863 Colima Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-839-2605
Harbor City,木蘭餐館,MULAN CHINESE RESTAURANT,1318 W. Sepulveda Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-539-1051
Monterey Park,味佳冷飲小吃,MY WAY DELI,735 W. Garvey Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-8997
San Gabriel,南京鹽水鴨,NANJING KITCHEN,706 W. Las Tunas Dr. #5,RESTAURANTS-CHINESE FOOD,餐飲食品,626-281-8968
San Gabriel,八里亭清涼茶燉品,NATURE PAGODA,312 W. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-570-8333
Pomona,美味餐廳,NBC & FAST CHINESE RESTAURANT,1685 Indian Hill Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,909-626-9616
Monterey Park,海寶潮粵酒家,NBC SEAFOOD RESTAURANT,404 S. Atlantic Bl. #A,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-2323
San Gabriel,新竹園,NEW BAMBOO GARDEN CHINESE RESTAURANT,7248 N. Rosemead Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-286-0411
Whittier,新廣東飯店,NEW CANTON RESTAURANT,13015  Philadelphia St.,RESTAURANTS-CHINESE FOOD,餐飲食品,562-698-7315
Rowland Hts.,半島海鮮酒家,NEW CAPITAL SEAFOOD RESTAURANT,1330 S. Fullerton Rd. #207,RESTAURANTS-CHINESE FOOD,餐飲食品,626-581-9813
San Gabriel,半島海鮮酒家,NEW CAPTIAL SEAFOOD RESTAURANT,140 W. Valley Bl. D-4th,RESTAURANTS-CHINESE FOOD,餐飲食品,626-288-1899
Upland,新華餐廳,NEW CHINA RESTAURANT,2006 W. Foothill Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,909-982-4462
San Gabriel,水煮魚1號,NEW CHONG QING,120 N. San Gabriel Bl. #J,RESTAURANTS-CHINESE FOOD,餐飲食品,626-309-0836
Los Angeles,新口味,NEW FAVORS RESTAURANT,4135 Centinela Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-390-7849
Rowland Hts.,新園,NEW GARDEN,18740 E. Colima Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-912-9588
Rowland Hts.,新金城北方麵店,NEW GOLDEN CITY,1015 S. Nogales St. #128,RESTAURANTS-CHINESE FOOD,餐飲食品,626-965-6822
Rosemead,新金寶潮州粉麵,NEW KIM BAO RESTAURANT,8752 E. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-288-8783
Alhambra,政記牛肉麵大王,NEW KING RESTAURANT,1265 E. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-281-4836
San Gabriel,新上林鐵板燒,NEW KINGSWOOD,250 W. Valley Bl. #L,RESTAURANTS-CHINESE FOOD,餐飲食品,626-289-0589
Monterey Park,新幸運城酒家,NEW LUCKY SEAFOOD RESTAURANT,415 W. Garvey Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-307-7338
Temple City,家鄉小館,NEW MANDARIN NOODLE DELI,9537 Las Tunas Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-309-4318
Cerritos,新北京餐館,NEW PEKING RESTAURANT,19131 Bloomfield Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,562-865-8139
Garden Grove,新潮洲粿條餐館,NEW TRIEU CHAU RESTAURANT,9902 Westminster Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,714-537-2433
San Gabriel,新港海鮮,NEWPORT SEAFOOD RESTAURANT,518 W. Las Tunas Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-289-5998
Rowland Hts.,新港海鮮,NEWPORT SEAFOOD RESTAURANT,18441 E. Colima Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-839-1239
Rosemead,大小餐館,NHA HANG -TAI SIU RESTAURANT,3219 N. San Gabriel Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-307-0203
Anaheim,金園排骨,NICE FOOD RESTAUANT,627 N. Euclid St.,RESTAURANTS-CHINESE FOOD,餐飲食品,714-772-2235
Monterey Park,好年冬,NICE TIME CAFE,500 N. Atlantic Bl. #117,RESTAURANTS-CHINESE FOOD,餐飲食品,626-872-1658
Hacienda Hts.,寧記麻辣火鍋餐廳,NING GI RESTAURANT,2019-1/2 S. Hacienda Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-330-7417
El Monte,第一雞,NO. 1 CHICKEN,10514 Lower Azusa Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-443-6215
Rosemead,阿一雲吞麵,NOODLE BOY,8518 E. Valley Bl. #B108,RESTAURANTS-CHINESE FOOD,餐飲食品,626-280-8963
Monterey Park,新錦記餐廳（麵家）,NOODLE CAFE,441 W. Garvey Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-571-8999
Rowland Hts.,福方園天津麵食,NOODLE HOUSE,18219 E. Gale Ave. #A,RESTAURANTS-CHINESE FOOD,餐飲食品,626-839-8806
Rowland Hts.,美膳園,NOODLE KITCHEN,18977 Colima Rd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-215-8099 626-965-0516
La Puente,張大嘴麵家,NOODLE RAPIDO,1391 N. Hacienda Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-961-1234
Monterey Park,麵香園,NOODLES HOUSE,958 E. Garvey Ave,RESTAURANTS-CHINESE FOOD,餐飲食品,626-280-0831
Rosemead,北方酒樓,NORTHERN CHINESE RESTAURANT,8450 E. Valley Bl. #108-109,RESTAURANTS-CHINESE FOOD,餐飲食品,626-288-9299
Monterey Park,新港城海鮮酒家,NYC SEAFOOD RESTAURANT,715 W. Garvey Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-289-9898
S. Pasadena,翡翠海鮮酒家,OAK TREE INN INC.,1315 Fair Oaks Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,323-682-2882
Los Angeles,富臨大酒樓,OCEAN SEAFOOD RESTAURANT,750 N. Hill St. #A,RESTAURANTS-CHINESE FOOD,餐飲食品,213-687-3088
Monterey Park,美麗華大酒店,OCEAN STAR RESTAURANT,145 N. Atlantic Bl. #201-203,RESTAURANTS-CHINESE FOOD,餐飲食品,626-308-2128
Alhambra,金山城重慶火鍋旗艦店,OLD CHONG QING,1468 E. Valley Blvd.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-293-8868
Temple City,老鄉親冰果小吃,OLD COUNTRY CAFE,5805 N. Rosemead Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-291-5557
Alhambra,老鄉親冰果小吃,OLD COUNTRY CAFE,2 E. Valley Bl. #1E,RESTAURANTS-CHINESE FOOD,餐飲食品,626-284-4610
San Gabriel,鬥牛小火鍋,ONE ON ONE,400 E. Valley Bl,RESTAURANTS-CHINESE FOOD,餐飲食品,626-571-1138
Chino Hills,王府,ONE PLUS DUMPLING HOUSE,14720 Pileline Ave.#B,RESTAURANTS-CHINESE FOOD,餐飲食品,909-606-8088
La Habra,華廷閣,ORIENTAL CHINESE RESTAURANT,2380 W. Whittier Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,562-697-5271
San Gabriel,東方特快,ORIENTAL EXPRESS CAFE,158 S. San Gabriel Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-292-1868
San Gabriel,楓悠軒,OSHAN ISLAND,704 W. Las Tunas Dr. #3,RESTAURANTS-CHINESE FOOD,餐飲食品,626-293-8128
Burbank,華館,P.F. CHANG'S CHINA BISTRO INC.,201 E. Magnolia Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,818-391-1070
Torrance,華館,P.F. CHANG'S CHINA BISTRO INC.,3525 Carson St.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-793-0590
Pasadena,華館,P.F. CHANG'S CHINA BISTRO INC.,260 E. Colorado Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-356-9760
Los Angeles,華館,P.F. CHANG'S CHINA BISTRO INC.,121 N. La Cienega Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-854-6467
El Segundo,華館,P.F. CHANG'S CHINA BISTRO INC.,2041 Rosecrans Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-607-9062
Monterey Park,蒙市一條龍北平麵點,P.P POP RESTAURANT,127 N. Garfield Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-307-7351
San Gabriel,趴趴走美食屋,PA PA WALK,227 W. Valley Bl.#148-B,RESTAURANTS-CHINESE FOOD,餐飲食品,626-281-3889
Walnut,熊貓快餐,PANDA EXPRESS,558 N. Grand Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,909-595-1633
Irvine,熊貓快餐,PANDA EXPRESS,15333 Culver Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,949-733-3893
Arcadia,熊貓快餐,PANDA EXPRESS,745 W. Naomi Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-821-9407
Glendale,聚豐園,PANDA INN,111 E. Wilson Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,818-502-1234
Ontario,聚豐園,PANDA INN,3223 E. Centre Lake Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,909-390-2888
