city,name_chinese,name_english,address,category_2,category_1,number
Arcadia,一品齋,SUPREME VEGETARIAN CUISINE,558 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-445-8882
Cerritos,素香緣,VEGI WOKERY,11329 183rd St.,RESTAURANTS-VEGETARIAN,餐飲食品,562-809-3928
Costa Mesa,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,1400 Bristol St.,RESTAURANTS-VEGETARIAN,餐飲食品,714-668-9288
Granada Hills,天香素菜館,VEGETABLE DELIGHT RESTAURANT,17823 Chatsworth St.,RESTAURANTS-VEGETARIAN,餐飲食品,818-360-3997
Hacienda Hts.,新澄慧素食,GARDEN FRESH VEGETARIAN FOOD,16034 Gale Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-968-2279
Los Angeles,,VEGGIE GRILL,8000 W Sunset Bl,RESTAURANTS-VEGETARIAN,餐飲食品,323-822-7575
Pasadena,新概念健康素食,VEGGIE & TEA HOUSE,1055 E. Clorado Bl. #102,RESTAURANTS-VEGETARIAN,餐飲食品,626-440-0088
Rosemead,新欣園素菜館,NEW HAPPY FAMILY RESTAURANT,8632 E. Valley Bl. #E,RESTAURANTS-VEGETARIAN,餐飲食品,626-288-5786
Rowland Hts.,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,18425 E. Colima Rd. 2nd Fl.,RESTAURANTS-VEGETARIAN,餐飲食品,626-965-9923
Rowland Hts.,寬心園素菜餐廳,HAPPY VEGGIE GARDEN,1015 S. Nogales St. #127A,RESTAURANTS-VEGETARIAN,餐飲食品,626-810-2298
San Bernardino,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,2150 S. Waterman Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,909-783-8928
San Gabriel,巧園素菜餐廳,FINE GARDEN VEGETARIAN CUISINE,841 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-282-2282
San Gabriel,御素坊,GOURMET VEGETARIAN RESTAURANT,140 W. Valley Bl. #222,RESTAURANTS-VEGETARIAN,餐飲食品,626-280-5998
Upland,愛家素食餐廳,VEGGIE ERA,903 W. Foothill Bl. #B,RESTAURANTS-VEGETARIAN,餐飲食品,909-982-3882
West Covina,ONE WORLD素餐館,ONE WORLD VEGETARIAN CUISINE,178 S. Glendora Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-917-2727
El Monte,美德素齋,MERIT VEGGIE PLACE,11022 Lower Azusa Rd.,RESTAURANTS-VEGETARIAN,餐飲食品,626-279-2098
Los Angeles,,VEGGIE GRILL,8000 W Sunset Bl,RESTAURANTS-VEGETARIAN,餐飲食品,323-822-7575
Cerritos,素香緣,VEGI WOKERY,11329 183rd St.,RESTAURANTS-VEGETARIAN,餐飲食品,562-809-3928
Arcadia,芽菜坊素食小館,BEAN SPROUTS VEGETARIAN RESTAURANT,103 E. Huntington Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-254-8708
San Gabriel,御素坊,GOURMET VEGETARIAN RESTAURANT,140 W. Valley Bl. #222,RESTAURANTS-VEGETARIAN,餐飲食品,626-280-5998
San Gabriel,巧園素菜餐廳,FINE GARDEN VEGETARIAN CUISINE,841 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-282-2282
Rosemead,新欣園素菜館,NEW HAPPY FAMILY RESTAURANT,8632 E. Valley Bl. #E,RESTAURANTS-VEGETARIAN,餐飲食品,626-288-5786
Alhambra,愛家國際連鎖素食餐飲,LOVING HUT - VEGAN / VEGETARIA,621 W. Main St.,RESTAURANTS-VEGETARIAN,餐飲食品,626-289-2684
Pasadena,新概念健康素食,VEGGIE & TEA HOUSE,1055 E. Clorado Bl. #102,RESTAURANTS-VEGETARIAN,餐飲食品,626-440-0088
Arcadia,一品齋,SUPREME VEGETARIAN CUISINE,558 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-445-8882
Rowland Hts.,寬心園素菜餐廳,HAPPY VEGGIE GARDEN,1015 S. Nogales St. #127A,RESTAURANTS-VEGETARIAN,餐飲食品,626-810-2298
West Covina,ONE WORLD素餐館,ONE WORLD VEGETARIAN CUISINE,178 S. Glendora Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-917-2727
Rowland Hts.,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,18425 E. Colima Rd. 2nd Fl.,RESTAURANTS-VEGETARIAN,餐飲食品,626-965-9923
Hacienda Hts.,新澄慧素食,GARDEN FRESH VEGETARIAN FOOD,16034 Gale Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-968-2279
Costa Mesa,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,1400 Bristol St.,RESTAURANTS-VEGETARIAN,餐飲食品,714-668-9288
Granada Hills,天香素菜館,VEGETABLE DELIGHT RESTAURANT,17823 Chatsworth St.,RESTAURANTS-VEGETARIAN,餐飲食品,818-360-3997
San Bernardino,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,2150 S. Waterman Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,909-783-8928
Upland,愛家素食餐廳,VEGGIE ERA,903 W. Foothill Bl. #B,RESTAURANTS-VEGETARIAN,餐飲食品,909-982-3882
El Monte,美德素齋,MERIT VEGGIE PLACE,11022 Lower Azusa Rd.,RESTAURANTS-VEGETARIAN,餐飲食品,626-279-2098
Los Angeles,,VEGGIE GRILL,8000 W Sunset Bl,RESTAURANTS-VEGETARIAN,餐飲食品,323-822-7575
West Covina,ONE WORLD素餐館,ONE WORLD VEGETARIAN CUISINE,178 S. Glendora Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-917-2727
Arcadia,一品齋,SUPREME VEGETARIAN CUISINE,558 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-445-8882
Granada Hills,天香素菜館,VEGETABLE DELIGHT RESTAURANT,17823 Chatsworth St.,RESTAURANTS-VEGETARIAN,餐飲食品,818-360-3997
Rowland Hts.,寬心園素菜餐廳,HAPPY VEGGIE GARDEN,1015 S. Nogales St. #127A,RESTAURANTS-VEGETARIAN,餐飲食品,626-810-2298
San Gabriel,巧園素菜餐廳,FINE GARDEN VEGETARIAN CUISINE,841 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-282-2282
San Gabriel,御素坊,GOURMET VEGETARIAN RESTAURANT,140 W. Valley Bl. #222,RESTAURANTS-VEGETARIAN,餐飲食品,626-280-5998
Alhambra,愛家國際連鎖素食餐飲,LOVING HUT - VEGAN / VEGETARIA,621 W. Main St.,RESTAURANTS-VEGETARIAN,餐飲食品,626-289-2684
Upland,愛家素食餐廳,VEGGIE ERA,903 W. Foothill Bl. #B,RESTAURANTS-VEGETARIAN,餐飲食品,909-982-3882
Pasadena,新概念健康素食,VEGGIE & TEA HOUSE,1055 E. Clorado Bl. #102,RESTAURANTS-VEGETARIAN,餐飲食品,626-440-0088
Rosemead,新欣園素菜館,NEW HAPPY FAMILY RESTAURANT,8632 E. Valley Bl. #E,RESTAURANTS-VEGETARIAN,餐飲食品,626-288-5786
Hacienda Hts.,新澄慧素食,GARDEN FRESH VEGETARIAN FOOD,16034 Gale Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-968-2279
San Bernardino,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,2150 S. Waterman Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,909-783-8928
Costa Mesa,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,1400 Bristol St.,RESTAURANTS-VEGETARIAN,餐飲食品,714-668-9288
Rowland Hts.,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,18425 E. Colima Rd. 2nd Fl.,RESTAURANTS-VEGETARIAN,餐飲食品,626-965-9923
Cerritos,素香緣,VEGI WOKERY,11329 183rd St.,RESTAURANTS-VEGETARIAN,餐飲食品,562-809-3928
Arcadia,芽菜坊素食小館,BEAN SPROUTS VEGETARIAN RESTAURANT,103 E. Huntington Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-254-8708
Lucerne Valley,鮮美農場,FRESH FAME INC.,27 Post Office Rd.,FARM PRODUCE,餐飲食品,626-380-6506
Ontario,鍾氏養雞場,JONG'S EGG RANCH INC.,10076 Edison Ave.,FARM PRODUCE,餐飲食品,909-947-0601
Riverside,鍾氏有機肥料,JONG'S ORGANIC FERTILIZERS INC.,3410 La Sierra Ave.,FARM PRODUCE,餐飲食品,951-204-1688
San Bernardino,良機農場,LUCKY FARMS INC.,1194 Brier Dr.,FARM PRODUCE,餐飲食品,909-799-6688
Rancho Santa Margarita,PPG人工果嶺,PROFESSIONAL PUTTING GREENS & SYNTHETIC TURF PRODUCTS,28562 Oso Pkwy. #D528,FARM PRODUCE,餐飲食品,949-709-5889
S. El Monte,四季酒業公司,CNS ENTERPRISES INC.,2708 Chico Ave.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,888-239-1849 626-579-0586
El Monte,華晟食品,RIVERA FOOD SERVICE INC.,4308 Baldwin Ave.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-443-6699
City of Industry,新興公司,SUN HING FOODSINC,15939 E. Valley Bl.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-961-6868
Los Angeles,SELECT MEAT CO.,,670 Mesquit St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,949-574-2990
City of Industry,RED SHELL FOODSINC.,,825 Baldwin Park Bl.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-937-6501
San Gabriel,優之良品,AJI ICHIBAN LOS ANGELES INC.,140 W. Valley Bl. #109,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-280-6383
Torrance,烹大師,AJINOMOTO USA,3460 Torrance Bl. #310,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,310-543-8600
Alhambra,,AKAI RICE,125 W. Main St. #B,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-457-9988
El Monte,素食批發,ALL VEGETARIAN INC.,4300 Baldwin Ave.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-448-5919
Los Angeles,亞美園,AMAY'S BAKERY & NOODLE CO. CO,837 Commercial St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,213-626-2713
City of Industry,美國東錦國際企業有限公司,AMERICA TOHKIN ENTERPRISES INC,939 Radecki Ct.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-965-8322
Los Angeles,美美食品公司,AMERICAN FOOD CO.,4738 Valley Bl.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,323-223-7738
Commerce,美國食用油廠,AMERICAN VEGETABLE OILS INC.,7244 Condop St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,323-722-4328
City of Industry,弘茂素食有限公司,AMIDA FOOD CORP.,17531 Railroad St. #L,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-581-0889
City of Industry,天使糖果,ANGEL'S CANDIES INC,17861 Colima Rd,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-429-8958
Los Angeles,安興公司,ANHING CORP.,418 North Ave. #19,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,323-221-8003
El Monte,劉記燒餅,AUNTIE LIU'S KITCHEN,2724 Merced Ave.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-448-9168
Commerce,,BARRERAS MEAT CO.,6850 Washington Bl.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,323-838-7676
Los Angeles,頂好農產品批發公司,BEST BUY PRODUCE INT'L INC.,2929 E. 44th St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,323-262-8888
City of Industry,新上海食品公司,BIG GREEN USA CORP.,1265 S. Johnson Dr.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-964-5178
Arcadia,大舞台食品,BIG STAGE INC.,5460 N. Peck Rd. #D,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,888-880-1882
Arcadia,元亨素食食品批發公司,BIG VEGETARIAN SUPPLY INC.,54 E. Live Oak Ave,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-336-8606626-968-9038
Arcadia,元亨素食食品批發公司,BIG VEGETARINA SUPPLY,54 E. Live Oak Ave,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-991-5152
Rosemead,菩提素食,BODHI VEGETARIAN SUPPLY,8450 Valley Bl. #106,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-280-7936
S. El Monte,美國磐林集團-田園食品公司,CAN MARKETING CORP.,2223 Seaman Ave.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-443-2335
Los Angeles,廣東食品公司,CANTON FOOD CO.,750 S. Alameda St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,213-688-7707
Santa Fe Springs,京都食品,CAPITAL FOODS  INT'L USA INC,9310 Norwalk Bl.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,562-908-1125
Los Angeles,國泰公司,CATHAY L.A. INC.,1501 N. Main St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,323-223-8268
Rowland Hts.,冠軍食品 - 羅蘭崗加盟店,CHAMPION FOOD,18414 Colima Rd. #Z,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-965-1145
San Gabriel,冠軍食品 - 聖蓋博加盟店,CHAMPION FOOD,140 W. Valley Bl. #113,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-571-8188
Irvine,冠軍食品- 爾灣加盟店,CHAMPION FOOD,14775 Jeffery Rd. #L,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,949-857-6686
Fountain Valley,冠軍食品- 芳泉谷加盟店,CHAMPION FOOD,17090 Magnolia St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,714-841-0398
Hacienda Hts.,冠軍食品旗艦店,CHAMPION GOURMEPT INC,1655 S. Azusa Ave. #F,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-964-0345
San Gabriel,冠軍食品-總公司,CHAMPION GOURMEPT PRODUCTS,260 Clary Ave.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-285-9851
Rosemead,熱帶水果專賣店,CHI UT THAI CAY 2,8450 E. Valley Bl. #104,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-840-1909
,新經濟有限公司-梅林牌,CHINA ECONOMY ONT'L CORP-MALIN,,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,888-606-7782
City of Industry,中國食品公司,CHINA FOODS USA INC.,916 Agax Ave.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-810-3399
City of Industry,中國牛肉乾公司,CHINA MEAT PRODUCTS INC,14500 E. Valley Bl.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-968-6917
El Monte,三媛食品,CHO FUKU GROUP (USA) INC.,10651 Hickson St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-575-8999
Walnut,長生食品工廠,CHUNG-SENG INC.,115 Commerce Way,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,909-869-9255
Pico Rivera,德成食品批發公司,CJ UNITED FOOD CORP.,8600 Mercury Ln.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,562-949-9999
S. El Monte,基發食品批發公司,CPG FOODS LLC,2425 Rosemead Bl.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-350-5848
City of Industry,基發食品批發公司,CPG FOODS LLC,1115 John Reed Ct.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-453-3880
Santa Ana,三鐘食品公司,D & D GOLD PRODUCT CORP.,310 S. Canter St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,714-550-0372
Alhambra,登高食品公司,D.K. BAKERY INC.,P.O. Box 6937,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-284-8756
El Monte,大政素食公司,DA CHENG VEGETARIAN FOOD INC.,10423 Valley Bl. #N,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,626-444-4980
Los Angeles,大昌貿易公司-嘉頓餅乾,DAI CHEONG TRADING CO. INC.,317 N. 19th Ave.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,323-225-1888
Westminster,東方豆腐,DANG VU INC.,15022 Moran St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,714-893-2022
Santa Fe Springs,大利食品公司,DAY-LEE FOODS INC.,10350 Heritage Park Dr. #111,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,562-903-3020
Westminster,文固三角州食品公司,DELTA FOOD CO.,14942 Moran St.,FOOD PRODUCTS-RETAIL & WHOLESALE,餐飲食品,714-898-7544
S. El Monte,安捷包裝機械公司,ENTRE PARK MACHINES MATERIALS CO.,2615 Loma Ave.,FOOD PROCESSING MACHINES,餐飲食品,626-378-8009
Brea,,HOSHIZAKI WESTERN INC.,790 Challenger St.,FOOD PROCESSING MACHINES,餐飲食品,714-671-1423
Commerce,,ICE MACHINE SALES & SERVICES,5250 E. Washington Bl.,FOOD PROCESSING MACHINES,餐飲食品,323-266-1024
S. El Monte,,LACAUSA INC.,2437 Lee Ave.,FOOD PROCESSING MACHINES,餐飲食品,626-579-3151
Los Angeles,食品加工機械材料總會,MEAT PACKERS & BUTCHERS SUPPLY CO.,2820 E. Washington Bl.,FOOD PROCESSING MACHINES,餐飲食品,323-268-8514
Anaheim,,NORM'S REFRIGERATION & ICE EQUIPMENT,1175 N. Knollwood Cir.,FOOD PROCESSING MACHINES,餐飲食品,714-236-3600
Los Angeles,豆腐、豆奶專用機械,PACIFIC INTE'L DISTRIBUTORS,3499 E. Pico Bl.,FOOD PROCESSING MACHINES,餐飲食品,323-780-8166
Long Beach,美國大同公司,TATUNG,2850 El Presidio St.,FOOD PROCESSING MACHINES,餐飲食品,800-829-2850
San Gabriel,聖蓋博希爾頓酒店,HILTON HOTEL,225 W. Valley Bl.,BANQUET SERVICES,餐飲食品,626-270-2700
Universal City,文華雅敘(環球影城希爾頓飯店),MANDARIN CLUB‧HILTON LOS ANGELES/UNIVERSAL CITY,555 Universal Hollywood Dr.,BANQUET SERVICES,餐飲食品,818-509-2088
Alhambra,雅曼舍宮宴會議事中心,ALMANSOR COURT INC.,700 S. Almansor St,BANQUET SERVICES,餐飲食品,626-570-4600
Los Angeles,美惠酒店,HISTORIC MAYFAIR HOTEL,1256 W. 7th St.,BANQUET SERVICES,餐飲食品,213-484-9789
Garden Grove,大酒店宴會,HOTEL BANQUET,9848 Garden Grove Bl.,BANQUET SERVICES,餐飲食品,800-530-5660
Monterey Park,,LUMINARIAS RESTAURANT,3500 W. Romona Bl.,BANQUET SERVICES,餐飲食品,323-268-4177
City of Industry,亞太棕櫚大酒店,PACIFIC PALMS CONFERENCE RESOR,1 Industry Hills Pkwy.,BANQUET SERVICES,餐飲食品,626-854-2509
Rancho Cucamonga,,REDHILL BARBEQUE,8111 Foothill Bl. #A,BANQUET SERVICES,餐飲食品,909-920-0558
Los Angeles,韓國酒吧,SKYHALL BANQUET & WEDDING,3680 Wilshire Bl. 5Fl.,BANQUET SERVICES,餐飲食品,213-387-7575
Long Beach,君皇宴會服務,THE GRAND LONG BEACH EVENT CENTER,4101 E. Willow St.,BANQUET SERVICES,餐飲食品,562-426-0555
Commerce,稚涵貿易公司(原惠芳貿易公司),Z. HAN INC.,5711 E. Olympic Bl.,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,323-725-9000
San Gabriel,新龍魚翅海產(零售、批發),888 OCEAN,600 E. Valley Bl. #H,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,626-572-3128
,阿一鮑魚,AH YAT AHALONE,,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,323-979-8792
Los Angeles,,AMERICAN FISH & SEAFOOD CO.,625 Kohler St.,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,213-612-0350
Bedford Canada,北極貝,CLEARWATER FINE FOODS INC.,757 Bedford Hwy.,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,902-443-0550
Los Angeles,遠東海產公司,FAR EAST SEAFOOD CO.,711-1/4 New High St.,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,213-617-3511
Los Angeles,遠東參茸海味貿易公司,FEC GINSENG & MARINE PRODUCTS,734 N. Broadway,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,213-617-0020
Los Angeles,遠東參茸海味貿易公司,FEC GINSENG & MARINE PRODUCTS,1701 N. Spring St.,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,323-223-0188
S. El Monte,隆珍海產公司,G & L SEAFOOD INC.,2400 Lee Ave.,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,626-448-8288
S. El Monte,長城海鮮公司,GREAT WALL SEAFOOD INC.,11020 Weaver Ave.,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,626-452-0908
Vernon,,H & N FOODS INT'L,5580 S. Alameda St.,FISH & SEAFOOD-RETAIL & WHOLESALE,餐飲食品,323-586-9388
